# carrier-dominion sweep
# commit 1318b30
# era 57f588c895da27c5
# configHash 6a96c2d8258f07d1
# count 300 islands default teams 2 tickCap 900000
# cores 20
seed,islands,teams,tick,resolved,winner,reason,worstGap,worstGapAt,findings,held,wallMs
1000,8,2,56439,1,0,sinking,14070,4002,0,1|1,803
143542,8,2,44868,1,0,sinking,22159,4002,0,1|1,479
286084,8,2,132086,1,1,sinking,13580,4002,0,2|3,1969
428626,8,2,35727,1,0,sinking,15283,4002,0,2|0,436
571168,8,2,56953,1,1,sinking,26634,4002,0,1|1,713
713710,8,2,58639,1,0,sinking,21286,4002,0,1|2,723
856252,8,2,154728,1,1,sinking,20367,4002,0,4|2,2143
998794,8,2,142523,1,0,sinking,26786,4002,0,2|2,2107
1141336,8,2,77356,1,0,sinking,26814,4002,0,2|2,1139
1283878,8,2,225703,1,0,sinking,55952,118806,0,3|1,3264
1426420,8,2,241451,1,0,islands,26218,4002,0,5|2,3104
1568962,8,2,54189,1,1,sinking,25356,4002,0,1|1,709
1711504,8,2,41587,1,1,sinking,27340,4002,0,1|1,375
1854046,8,2,160630,1,1,sinking,13389,16815,0,3|4,2551
1996588,8,2,142054,1,0,sinking,21605,4002,0,3|3,2123
2139130,8,2,36347,1,1,sinking,9864,4002,0,2|1,367
2281672,8,2,55043,1,1,sinking,24436,4002,0,2|1,696
8919,8,2,163076,1,0,sinking,39421,112900,0,3|2,2396
151461,8,2,35254,1,0,sinking,14240,4002,0,1|2,368
294003,8,2,900000,0,-1,none,256119,288007,1,1|2,8916
436545,8,2,29623,1,1,sinking,6707,15354,0,1|1,362
579087,8,2,41212,1,0,sinking,14309,4002,0,1|1,477
721629,8,2,50700,1,1,sinking,14592,4002,0,2|2,703
864171,8,2,317708,1,1,islands,88433,109479,1,1|5,4205
1006713,8,2,98042,1,0,sinking,26293,4002,0,2|2,1361
1149255,8,2,39472,1,0,sinking,13432,4002,0,1|2,439
1291797,8,2,435104,1,0,islands,134470,131200,1,5|1,6568
1434339,8,2,36156,1,0,sinking,12931,4002,0,1|1,336
1576881,8,2,103690,1,1,sinking,24966,56800,0,1|2,1307
1719423,8,2,47083,1,0,sinking,15329,4002,0,1|2,585
1861965,8,2,195594,1,1,sinking,29605,137789,0,2|2,2279
2004507,8,2,51183,1,0,sinking,26221,4002,0,1|1,579
2147049,8,2,351301,1,1,sinking,132389,125919,1,4|1,5166
2289591,8,2,149658,1,0,sinking,14229,17063,0,3|2,2261
16838,8,2,90257,1,1,sinking,16973,4002,0,2|2,1311
159380,8,2,101320,1,0,sinking,14251,16202,0,2|2,1195
301922,8,2,544022,1,1,sinking,43692,250050,0,3|4,7357
444464,8,2,60878,1,1,sinking,20093,4002,0,1|2,862
587006,8,2,106246,1,1,sinking,16605,4002,0,2|2,1415
729548,8,2,37321,1,0,sinking,20795,4002,0,1|1,337
872090,8,2,42520,1,0,sinking,13883,4002,0,1|2,460
1014632,8,2,47213,1,0,sinking,13201,4002,0,1|2,578
1157174,8,2,900000,0,-1,none,258258,51194,1,1|1,10184
1299716,8,2,900000,0,-1,none,340424,487276,1,2|1,12622
1442258,8,2,169564,1,0,sinking,20113,104629,0,4|1,2510
1584800,8,2,52765,1,1,sinking,26406,4002,0,1|1,610
1727342,8,2,900000,0,-1,none,270192,315672,1,1|1,11240
1869884,8,2,70538,1,0,sinking,26130,4002,0,2|2,929
2012426,8,2,226127,1,0,islands,28799,171702,0,5|1,3513
2154968,8,2,45273,1,0,sinking,16066,4002,0,1|2,565
2297510,8,2,215708,1,0,islands,40222,93103,0,5|1,2751
24757,8,2,124056,1,0,sinking,26303,4002,0,2|3,1768
167299,8,2,78822,1,1,sinking,20071,4002,0,2|2,1009
309841,8,2,40070,1,1,sinking,15851,4002,0,2|1,440
452383,8,2,141287,1,0,sinking,27372,111950,0,3|1,2158
594925,8,2,41890,1,1,sinking,26129,4002,0,1|1,451
737467,8,2,317411,1,0,islands,119561,178503,1,5|0,4354
880009,8,2,261962,1,0,islands,61982,92602,1,5|1,4034
1022551,8,2,132483,1,0,sinking,26146,4002,0,2|2,1746
1165093,8,2,91770,1,0,sinking,27288,4002,0,2|2,1217
1307635,8,2,41752,1,1,sinking,14423,4002,0,2|1,428
1450177,8,2,44142,1,1,sinking,13453,16682,0,2|1,521
1592719,8,2,179030,1,0,sinking,31106,143400,0,3|2,2527
1735261,8,2,202001,1,1,islands,26186,4002,0,1|5,2754
1877803,8,2,39974,1,0,sinking,26812,4002,0,1|1,378
2020345,8,2,78367,1,0,sinking,26223,4002,0,2|2,1076
2162887,8,2,39131,1,1,sinking,26762,4002,0,1|1,384
2305429,8,2,233819,1,0,islands,43833,179553,0,5|1,3557
32676,8,2,37629,1,0,sinking,26194,4002,0,1|1,417
175218,8,2,20183,1,0,sinking,10267,4002,0,1|1,239
317760,8,2,34995,1,0,sinking,14729,15524,0,1|1,311
460302,8,2,178973,1,0,sinking,24326,99999,0,1|4,2275
602844,8,2,50696,1,1,sinking,14019,4002,0,2|1,607
745386,8,2,51919,1,1,sinking,13163,4002,0,2|2,764
887928,8,2,900000,0,-1,none,258944,266802,1,1|1,8988
1030470,8,2,57512,1,1,sinking,22406,4002,0,1|2,718
1173012,8,2,172904,1,0,sinking,24773,116502,0,4|2,2737
1315554,8,2,38566,1,0,sinking,13151,4002,0,1|2,409
1458096,8,2,71710,1,0,sinking,26458,4002,0,2|1,894
1600638,8,2,35233,1,1,sinking,6191,4002,0,3|1,445
1743180,8,2,56312,1,0,sinking,26386,4002,0,1|1,662
1885722,8,2,900000,0,-1,none,280293,314546,1,1|1,9624
2028264,8,2,55367,1,0,sinking,16665,4002,0,1|2,652
2170806,8,2,57652,1,1,sinking,24532,4002,0,2|1,750
2313348,8,2,51973,1,1,sinking,26226,4002,0,1|1,588
40595,8,2,60816,1,0,sinking,16541,4002,0,2|1,953
183137,8,2,41970,1,0,sinking,13600,4002,0,1|1,436
325679,8,2,100359,1,0,sinking,26343,4002,0,2|2,1418
468221,8,2,130344,1,1,sinking,30230,96502,0,2|2,1865
610763,8,2,157074,1,0,sinking,66297,75900,1,2|1,2578
753305,8,2,154622,1,0,islands,19940,83802,0,5|1,2380
895847,8,2,51987,1,1,sinking,16818,4002,0,2|1,632
1038389,8,2,122906,1,1,islands,9501,76101,0,1|5,1799
1180931,8,2,52312,1,1,sinking,13281,4002,0,2|1,691
1323473,8,2,39951,1,0,sinking,22052,4002,0,1|1,410
1466015,8,2,34305,1,1,sinking,26207,4002,0,1|1,299
1608557,8,2,49918,1,1,sinking,13703,4002,0,2|1,650
1751099,8,2,44424,1,1,sinking,15344,4002,0,1|2,629
1893641,8,2,256871,1,1,islands,47451,194485,0,1|5,3981
2036183,8,2,53745,1,0,sinking,15463,4002,0,1|2,706
2178725,8,2,57394,1,1,sinking,24195,4002,0,2|1,649
2321267,8,2,67507,1,0,sinking,13213,4002,0,1|3,909
48514,8,2,108664,1,0,sinking,26256,4002,0,1|2,1458
191056,8,2,81705,1,1,sinking,17186,41524,0,1|2,1136
333598,8,2,116104,1,1,sinking,26414,4002,0,3|3,1836
476140,8,2,94788,1,0,sinking,15369,4002,0,4|1,1179
618682,8,2,174702,1,1,sinking,59032,53221,0,2|2,2607
761224,8,2,109985,1,1,sinking,26443,4002,0,2|2,1226
903766,8,2,100434,1,0,sinking,21747,4002,0,3|1,1374
1046308,8,2,108498,1,0,sinking,26400,4002,0,2|1,1466
1188850,8,2,76914,1,0,sinking,26295,4002,0,2|2,921
1331392,8,2,83535,1,1,sinking,26298,4002,0,2|2,1147
1473934,8,2,71464,1,0,sinking,15334,4002,0,1|2,940
1616476,8,2,46336,1,1,sinking,11939,14481,0,2|1,640
