# carrier-dominion sweep
# commit 1318b30
# era 57f588c895da27c5
# configHash 66153a8c5df14088
# count 20 islands 16 teams 2 tickCap 900000
# cores 20
seed,islands,teams,tick,resolved,winner,reason,worstGap,worstGapAt,findings,held,wallMs
1000,16,2,900000,0,-1,none,66727,422705,0,4|8,22290
143542,16,2,98678,1,1,sinking,21479,16697,0,2|2,1724
8919,16,2,900000,0,-1,none,93809,649140,1,7|7,14722
151461,16,2,410448,1,1,sinking,43022,4002,0,6|3,7209
16838,16,2,298292,1,1,sinking,39486,89915,0,4|5,4858
24757,16,2,200318,1,0,sinking,27168,4002,0,2|5,3557
32676,16,2,520632,1,1,sinking,39086,467886,0,6|6,9720
40595,16,2,87036,1,1,sinking,14908,4002,0,2|2,1467
48514,16,2,82827,1,0,sinking,27656,4002,0,2|2,1233
56433,16,2,251955,1,0,sinking,27099,221001,0,4|5,3991
64352,16,2,111899,1,0,sinking,49245,4002,0,3|2,1772
72271,16,2,530487,1,0,sinking,46809,297300,0,5|6,9550
80190,16,2,496046,1,0,sinking,46576,447091,0,4|4,8802
88109,16,2,303340,1,1,sinking,34364,4002,0,4|5,5613
96028,16,2,900000,0,-1,none,52658,377001,0,6|9,15335
103947,16,2,213476,1,0,sinking,15842,186181,0,4|5,3473
111866,16,2,900000,0,-1,none,59339,786634,0,6|8,16366
119785,16,2,300151,1,0,sinking,39731,4002,0,3|7,5345
127704,16,2,321376,1,1,sinking,22845,18462,0,4|6,6039
135623,16,2,330087,1,0,sinking,31500,190701,0,4|5,4975
