# carrier-dominion sweep
# commit 1318b30
# era 57f588c895da27c5
# configHash 4675749895daedf3
# count 20 islands 32 teams 4 tickCap 900000
# cores 20
seed,islands,teams,tick,resolved,winner,reason,worstGap,worstGapAt,findings,held,wallMs
1000,32,4,900000,0,-1,none,70757,771530,1,7|8|6|2,54271
143542,32,4,900000,0,-1,none,53749,727061,1,5|7|3|7,43883
8919,32,4,900000,0,-1,none,64300,740117,1,3|6|8|9,43792
151461,32,4,900000,0,-1,none,73735,805022,1,14|3|2|5,43268
16838,32,4,362937,1,2,sinking,20964,4002,0,5|5|3|5,18337
24757,32,4,368928,1,0,sinking,50759,4002,0,6|8|4|2,18750
32676,32,4,900000,0,-1,none,113833,588488,0,5|8|6|8,38867
40595,32,4,900000,0,-1,none,32148,540720,1,5|8|5|5,52565
48514,32,4,900000,0,-1,none,47267,552708,0,3|2|7|6,41483
56433,32,4,900000,0,-1,none,45285,487311,1,9|10|8|0,42056
64352,32,4,900000,0,-1,none,89221,423873,1,1|11|7|3,32594
72271,32,4,900000,0,-1,none,57413,527343,1,3|11|7|7,39185
80190,32,4,900000,0,-1,none,80802,706792,2,7|9|5|4,52832
88109,32,4,900000,0,-1,none,65329,502158,0,5|6|4|6,41546
96028,32,4,900000,0,-1,none,71968,603042,0,6|5|6|7,41099
103947,32,4,900000,0,-1,none,62996,702718,0,4|5|2|12,39273
111866,32,4,900000,0,-1,none,75557,518400,1,5|10|5|7,37692
119785,32,4,900000,0,-1,none,64441,790510,0,1|9|6|10,44656
127704,32,4,900000,0,-1,none,43260,810610,0,10|5|5|8,56448
135623,32,4,900000,0,-1,none,74458,423317,1,7|5|5|7,35532
