# carrier-dominion sweep
# commit 1318b30
# era 57f588c895da27c5
# configHash 320be3800ee45481
# count 20 islands 16 teams 8 tickCap 900000
# cores 20
seed,islands,teams,tick,resolved,winner,reason,worstGap,worstGapAt,findings,held,wallMs
1000,16,8,305611,1,6,sinking,21015,181302,0,2|5|0|1|1|1|6|0,27995
143542,16,8,900000,0,-1,none,480301,384999,1,1|2|1|6|0|1|1|1,77959
8919,16,8,900000,0,-1,none,47042,507100,2,3|1|1|1|0|8|1|0,97902
151461,16,8,900000,0,-1,none,95201,507202,2,0|0|2|7|0|0|7|0,94217
16838,16,8,900000,0,-1,none,205682,314983,1,2|1|1|1|2|3|1|1,107958
24757,16,8,135538,1,7,sinking,17960,106777,0,1|2|0|1|5|0|1|3,16170
32676,16,8,160460,1,3,sinking,7740,138102,1,1|3|1|4|1|0|3|0,19410
40595,16,8,900000,0,-1,none,276779,555100,2,2|1|3|0|0|0|8|0,64004
48514,16,8,209410,1,2,sinking,9090,179541,0,4|1|3|0|1|0|4|0,21887
56433,16,8,900000,0,-1,none,28601,413110,2,2|6|0|0|1|0|6|0,86407
64352,16,8,691070,1,6,sinking,88994,245319,1,2|3|1|0|3|0|2|1,45484
72271,16,8,577157,1,0,islands,56819,457188,1,10|0|0|0|1|1|0|4,63318
80190,16,8,900000,0,-1,none,102757,424962,2,0|0|8|0|2|6|0|0,75071
88109,16,8,129369,1,5,sinking,11938,82330,0,3|1|2|1|1|3|2|0,16188
96028,16,8,615095,1,6,sinking,59050,376144,0,3|0|2|0|3|1|7|0,68402
103947,16,8,247596,1,2,sinking,10062,218035,0,2|0|5|1|3|0|2|1,21879
111866,16,8,900000,0,-1,none,177206,403339,1,1|6|0|0|1|5|1|0,75701
119785,16,8,900000,0,-1,none,581001,250101,3,0|1|2|2|2|5|0|3,68187
127704,16,8,294022,1,5,sinking,40707,248396,0,1|3|1|1|1|5|1|2,30156
135623,16,8,900000,0,-1,none,103137,744948,2,0|8|0|0|3|1|3|0,86653
