# carrier-dominion sweep
# commit 1318b30
# era 57f588c895da27c5
# configHash c100704d6b37b259
# count 20 islands 64 teams 16 tickCap 900000
# cores 20
seed,islands,teams,tick,resolved,winner,reason,worstGap,worstGapAt,findings,held,wallMs
1000,64,16,900000,0,-1,none,92656,696300,1,1|5|0|3|4|5|0|9|0|6|0|4|0|1|1|5,512439
143542,64,16,900000,0,-1,none,22605,584556,1,0|4|7|0|2|1|4|6|1|6|9|0|2|0|4|1,658007
8919,64,16,900000,0,-1,none,29833,763132,1,7|2|3|0|0|6|0|0|11|2|1|3|2|2|1|1,572639
151461,64,16,900000,0,-1,none,105425,726441,1,0|12|2|2|1|5|0|2|0|11|1|1|8|0|0|0,429203
16838,64,16,900000,0,-1,none,48096,511774,0,11|0|2|1|7|1|1|9|2|4|0|6|7|0|0|0,430200
24757,64,16,900000,0,-1,none,33029,736001,1,2|8|0|1|4|0|6|0|5|3|1|1|0|4|3|1,331985
32676,64,16,900000,0,-1,none,62647,720590,0,4|0|7|5|1|1|1|5|0|5|1|6|0|0|4|0,424268
40595,64,16,900000,0,-1,none,59905,692628,1,0|11|3|0|0|7|1|0|9|4|1|0|10|0|5|2,517189
48514,64,16,900000,0,-1,none,69484,650094,1,7|9|0|1|1|6|0|3|2|1|3|0|8|8|0|0,382795
56433,64,16,900000,0,-1,none,15724,170485,1,5|1|2|2|8|0|0|5|1|0|6|0|2|1|1|2,395062
64352,64,16,900000,0,-1,none,64820,438358,1,6|1|2|0|9|0|7|1|1|2|1|4|1|10|1|1,376450
72271,64,16,900000,0,-1,none,40098,830103,1,0|6|2|7|0|1|13|0|4|1|1|0|6|2|0|9,412019
80190,64,16,900000,0,-1,none,46148,553959,1,1|7|0|7|0|0|4|0|4|0|3|9|0|0|7|1,454499
88109,64,16,900000,0,-1,none,39880,435176,1,2|3|1|8|0|0|5|1|2|9|1|2|1|7|1|2,485812
96028,64,16,900000,0,-1,none,12341,545000,1,2|6|0|4|2|1|1|3|1|6|1|0|9|0|8|1,568091
103947,64,16,900000,0,-1,none,51523,795578,2,5|1|1|7|0|0|5|1|1|10|1|0|3|8|0|0,711111
111866,64,16,900000,0,-1,none,29676,805973,2,2|8|0|1|8|0|6|1|1|2|1|8|1|1|5|1,487680
119785,64,16,900000,0,-1,none,49958,534202,2,0|8|1|2|4|0|1|6|0|5|0|7|3|1|1|6,369488
127704,64,16,900000,0,-1,none,39911,762961,1,10|1|5|1|1|9|0|2|2|9|0|5|0|3|1|3,397761
135623,64,16,900000,0,-1,none,118718,555153,0,11|1|0|3|8|1|1|2|2|3|5|0|6|0|1|0,309852
